id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ024_hammam-debagh_bou-hamdane,بوحمدان,Bou Hamdane,bou-hamdane,DZ024_hammam-debagh_bou-hamdane,36.535,7.231
DZ024_hammam-debagh_hammam-debagh,حمام دباغ,Hammam Debagh,hammam-debagh,DZ024_hammam-debagh_hammam-debagh,24007,36.485,7.272
DZ024_hammam-debagh_roknia,الركنية,Roknia,roknia,DZ024_hammam-debagh_roknia,24028,36.585,7.19
