id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ005_ain-djasser,عين جاسر,Ain Djasser,ain-djasser,DZ005_ain-djasser,2,35.788,3.503
DZ005_ain-touta,عين التوتة,Ain Touta,ain-touta,DZ005_ain-touta,4,35.376,5.902
DZ005_arris,أريس,Arris,arris,DZ005_arris,2,35.252,6.309
DZ005_barika,بريكة,Barika,barika,DZ005_barika,3,35.276,5.319
DZ005_batna,باتنة,Batna,batna,DZ005_batna,3,35.575,6.141
DZ005_bouzina,بوزينة,Bouzina,bouzina,DZ005_bouzina,2,35.597,3.784
DZ005_chemora,الشمرة,Chemora,chemora,DZ005_chemora,2,35.633,6.608
DZ005_djezzar,الجزار,Djezzar,djezzar,DZ005_djezzar,3,35.492,5.246
DZ005_el-madher,المعذر,El Madher,el-madher,DZ005_el-madher,4,35.707,6.396
DZ005_ichemoul,إشمول,Ichemoul,ichemoul,DZ005_ichemoul,3,35.349,6.49
DZ005_menaa,منعة,Menaa,menaa,DZ005_menaa,2,35.108,4.848
DZ005_merouana,مروانة,Merouana,merouana,DZ005_merouana,4,35.615,5.95
DZ005_ngaous,نقاوس,N'gaous,ngaous,DZ005_ngaous,3,35.429,5.582
DZ005_ouled-si-slimane,أولاد سي سليمان,Ouled Si Slimane,ouled-si-slimane,DZ005_ouled-si-slimane,3,35.567,5.742
DZ005_ras-el-aioun,رأس العيون,Ras El Aioun,ras-el-aioun,DZ005_ras-el-aioun,6,35.688,5.574
DZ005_seggana,سقانة,Seggana,seggana,DZ005_seggana,2,35.328,5.634
DZ005_seriana,سريانة,Seriana,seriana,DZ005_seriana,3,35.764,6.235
DZ005_tazoult,تازولت,Tazoult,tazoult,DZ005_tazoult,2,35.51,6.307
DZ005_theniet-el-abed,ثنية العابد,Theniet El Abed,theniet-el-abed,DZ005_theniet-el-abed,3,35.321,6.263
DZ005_timgad,تيمقاد,Timgad,timgad,DZ005_timgad,2,35.543,6.589
DZ005_tkout,تكوت,Tkout,tkout,DZ005_tkout,3,35.033,6.36
