id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ006_adekar,أدكار,Adekar,adekar,DZ006_adekar,3,36.737,4.566
DZ006_akbou,أقبو,Akbou,akbou,DZ006_akbou,4,36.445,4.548
DZ006_amizour,أميزور,Amizour,amizour,DZ006_amizour,4,36.606,4.866
DZ006_aokas,أوقاس,Aokas,aokas,DZ006_aokas,2,36.606,5.237
DZ006_barbacha,برباشة,Barbacha,barbacha,DZ006_barbacha,2,36.564,4.991
DZ006_bejaia,بجاية,Bejaia,bejaia,DZ006_bejaia,2,36.745,5.007
DZ006_beni-maouche,بني معوش,Beni Maouche,beni-maouche,DZ006_beni-maouche,1,36.575,4.791
DZ006_chemini,شميني,Chemini,chemini,DZ006_chemini,4,36.615,4.63
DZ006_darguina,درقينة,Darguina,darguina,DZ006_darguina,3,36.557,5.295
DZ006_el-kseur,القصر,El Kseur,el-kseur,DZ006_el-kseur,3,36.755,4.845
DZ006_ifri-ouzellaguene,إفري أوزلاقن,Ifri Ouzellaguene,ifri-ouzellaguene,DZ006_ifri-ouzellaguene,1,36.549,4.578
DZ006_ighil-ali,إغيل علي,Ighil Ali,ighil-ali,DZ006_ighil-ali,2,36.34,4.522
DZ006_kherrata,خراطة,Kherrata,kherrata,DZ006_kherrata,2,36.474,5.286
DZ006_seddouk,صدوق,Seddouk,seddouk,DZ006_seddouk,4,36.486,4.659
DZ006_sidi-aich,سيدي عيش,Sidi Aich,sidi-aich,DZ006_sidi-aich,5,36.627,4.7
DZ006_souk-el-tenine,سوق الإثنين,Souk El Tenine,souk-el-tenine,DZ006_souk-el-tenine,3,36.601,4.939
DZ006_tazmalt,تازملت,Tazmalt,tazmalt,DZ006_tazmalt,3,36.362,4.42
DZ006_tichy,تيشي,Tichy,tichy,DZ006_tichy,3,36.667,5.046
DZ006_timezrit,تيمزريت,Timezrit,timezrit,DZ006_timezrit,1,36.666,3.79
