id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
DZ007_djemorah_branis,برانيس,Branis,branis,DZ007_djemorah_branis,07023,34.974,5.786
DZ007_djemorah_djemorah,جمورة,Djemorah,djemorah,DZ007_djemorah_djemorah,07025,35.102,5.697
