id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ018_chekfa,الشقفة,Chekfa,chekfa,DZ018_chekfa,4,36.803,6.004
DZ018_djimla,جيملة,Djimla,djimla,DZ018_djimla,2,36.731,5.961
DZ018_el-ancer,العنصر,El Ancer,el-ancer,DZ018_el-ancer,4,36.767,6.126
DZ018_el-aouana,العوانة,El Aouana,el-aouana,DZ018_el-aouana,2,36.742,5.634
DZ018_el-milia,الميلية,El Milia,el-milia,DZ018_el-milia,2,36.807,6.289
DZ018_jijel,جيجل,Jijel,jijel,DZ018_jijel,1,36.798,5.745
DZ018_settara,السطارة,Settara,settara,DZ018_settara,2,36.707,6.363
DZ018_sidi-marouf,سيدي معروف,Sidi Marouf,sidi-marouf,DZ018_sidi-marouf,2,36.627,6.176
DZ018_taher,الطاهير,Taher,taher,DZ018_taher,5,36.719,5.899
DZ018_texenna,تاكسنة,Texenna,texenna,DZ018_texenna,2,36.717,5.771
DZ018_ziamah-mansouriah,زيامة منصورية,Ziamah Mansouriah,ziamah-mansouriah,DZ018_ziamah-mansouriah,2,36.731,5.961
