id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ036_ben-mhidi,بن مهيدي,Ben M'hidi,ben-mhidi,DZ036_ben-mhidi,3,36.825,7.966
DZ036_besbes,البسباس,Besbes,besbes,DZ036_besbes,3,36.698,7.901
DZ036_bouhadjar,بوحجار,Bouhadjar,bouhadjar,DZ036_bouhadjar,4,36.286,5.798
DZ036_bouteldja,بوثلجة,Bouteldja,bouteldja,DZ036_bouteldja,3,36.74,8.146
DZ036_drean,الذرعان,Drean,drean,DZ036_drean,3,36.65,7.796
DZ036_el-kala,القالة,El Kala,el-kala,DZ036_el-kala,4,36.851,8.535
DZ036_el-tarf,الطارف,El Tarf,el-tarf,DZ036_el-tarf,4,36.806,7.904
