id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ008_abadla,العبادلة,Abadla,abadla,DZ008_abadla,3,30.965,-2.961
DZ008_bechar,بشار,Bechar,bechar,DZ008_bechar,1,31.615,-1.92
DZ008_beni-ounif,بني ونيف,Beni Ounif,beni-ounif,DZ008_beni-ounif,1,31.556,-0.904
DZ008_kenadsa,القنادسة,Kenadsa,kenadsa,DZ008_kenadsa,2,31.522,-2.901
DZ008_lahmar,لحمر,Lahmar,lahmar,DZ008_lahmar,3,31.917,-2.444
DZ008_tabelbala,تبلبالة,Tabelbala,tabelbala,DZ008_tabelbala,1,28.961,-3.42
DZ008_taghit,تاغيت,Taghit,taghit,DZ008_taghit,1,31.077,-1.677
