id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ025_ain-abid,عين عبيد,Ain Abid,ain-abid,DZ025_ain-abid,2,35.59,3.015
DZ025_constantine,قسنطينة,Constantine,constantine,DZ025_constantine,1,36.356,6.61
DZ025_el-khroub,الخروب,El Khroub,el-khroub,DZ025_el-khroub,3,36.254,6.632
DZ025_hamma-bouziane,حامة بوزيان,Hamma Bouziane,hamma-bouziane,DZ025_hamma-bouziane,2,36.448,6.621
DZ025_ibn-ziad,ابن زياد,Ibn Ziad,ibn-ziad,DZ025_ibn-ziad,2,36.374,6.427
DZ025_zighoud-youcef,زيغود يوسف,Zighoud Youcef,zighoud-youcef,DZ025_zighoud-youcef,2,36.532,6.74
