id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ019_ain-arnat,عين أرنات,Ain Arnat,ain-arnat,DZ019_ain-arnat,4,36.217,5.317
DZ019_ain-azel,عين أزال,Ain Azel,ain-azel,DZ019_ain-azel,4,35.923,5.562
DZ019_ain-el-kebira,عين الكبيرة,Ain El Kebira,ain-el-kebira,DZ019_ain-el-kebira,3,36.366,5.532
DZ019_ain-oulmene,عين ولمان,Ain Oulmene,ain-oulmene,DZ019_ain-oulmene,4,36.039,5.28
DZ019_amoucha,عموشة,Amoucha,amoucha,DZ019_amoucha,3,36.438,5.397
DZ019_babor,بابور,Babor,babor,DZ019_babor,2,36.491,5.559
DZ019_beni-aziz,بني عزيز,Beni Aziz,beni-aziz,DZ019_beni-aziz,3,36.451,5.697
DZ019_beni-ourtilane,بني ورتيلان,Beni Ourtilane,beni-ourtilane,DZ019_beni-ourtilane,4,36.493,4.905
DZ019_bir-el-arch,بئر العرش,Bir El Arch,bir-el-arch,DZ019_bir-el-arch,4,36.198,5.805
DZ019_bouandas,بوعنداس,Bouandas,bouandas,DZ019_bouandas,4,36.513,5.09
DZ019_bougaa,بوقاعة,Bougaa,bougaa,DZ019_bougaa,3,36.333,5.161
DZ019_djemila,جميلة,Djemila,djemila,DZ019_djemila,2,36.317,5.659
DZ019_el-eulma,العلمة,El Eulma,el-eulma,DZ019_el-eulma,3,36.126,5.688
DZ019_guenzet,قنزات,Guenzet,guenzet,DZ019_guenzet,2,36.349,4.925
DZ019_guidjel,قجال,Guidjel,guidjel,DZ019_guidjel,2,36.134,5.517
DZ019_hammam-guergour,حمام قرقور,Hammam Guergour,hammam-guergour,DZ019_hammam-guergour,2,36.387,5.016
DZ019_hammam-sokhna,حمام السخنة,Hammam Sokhna,hammam-sokhna,DZ019_hammam-sokhna,3,35.946,5.829
DZ019_maoklane,ماوكلان,Maoklane,maoklane,DZ019_maoklane,2,36.455,5.119
DZ019_salah-bey,صالح باي,Salah Bey,salah-bey,DZ019_salah-bey,5,35.755,5.269
DZ019_setif,سطيف,Setif,setif,DZ019_setif,1,36.192,5.418
