id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ034_ain-taghrout,عين تاغروت,Ain Taghrout,ain-taghrout,DZ034_ain-taghrout,2,36.091,5.112
DZ034_bir-kasdali,بئر قاصد علي,Bir Kasdali,bir-kasdali,DZ034_bir-kasdali,3,36.166,4.977
DZ034_bordj-bou-arreridj,برج بوعريريج,Bordj Bou Arreridj,bordj-bou-arreridj,DZ034_bordj-bou-arreridj,1,36.043,4.57
DZ034_bordj-ghedir,برج الغدير,Bordj Ghedir,bordj-ghedir,DZ034_bordj-ghedir,5,35.897,4.94
DZ034_bordj-zemmoura,برج زمورة,Bordj Zemmoura,bordj-zemmoura,DZ034_bordj-zemmoura,3,36.234,4.777
DZ034_djaafra,جعافرة,Djaafra,djaafra,DZ034_djaafra,4,36.309,4.68
DZ034_el-hamadia,الحمادية,El Hamadia,el-hamadia,DZ034_el-hamadia,4,35.934,4.65
DZ034_mansourah,المنصورة,Mansourah,mansourah,DZ034_mansourah,5,35.874,3.532
DZ034_medjana,مجانة,Medjana,medjana,DZ034_medjana,4,36.128,4.706
DZ034_ras-el-oued,رأس الوادي,Ras El Oued,ras-el-oued,DZ034_ras-el-oued,3,35.918,5.053
