id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ031_ain-turk,عين الترك,Ain Turk,ain-turk,DZ031_ain-turk,4,35.715,-0.798
DZ031_arzew,أرزيو,Arzew,arzew,DZ031_arzew,2,35.856,-0.335
DZ031_bethioua,بطيوة,Bethioua,bethioua,DZ031_bethioua,3,35.758,-0.242
DZ031_bir-el-djir,بئر الجير,Bir El Djir,bir-el-djir,DZ031_bir-el-djir,3,35.729,-0.508
DZ031_boutlelis,بوتليليس,Boutlelis,boutlelis,DZ031_boutlelis,3,35.624,-0.923
DZ031_es-senia,السانية,Es Senia,es-senia,DZ031_es-senia,3,35.656,-0.59
DZ031_gdyel,قديل,Gdyel,gdyel,DZ031_gdyel,3,35.769,-0.399
DZ031_oran,وهران,Oran,oran,DZ031_oran,1,35.71,-0.615
DZ031_oued-tlelat,وادي تليلات,Oued Tlelat,oued-tlelat,DZ031_oued-tlelat,4,35.568,-0.47
