id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ026_ain-boucif,عين بوسيف,Ain Boucif,ain-boucif,DZ026_ain-boucif,5,35.884,3.208
DZ026_aziz,عزيز,Aziz,aziz,DZ026_aziz,3,35.8,2.437
DZ026_beni-slimane,بني سليمان,Beni Slimane,beni-slimane,DZ026_beni-slimane,3,36.209,3.258
DZ026_berrouaghia,البرواقية,Berrouaghia,berrouaghia,DZ026_berrouaghia,3,36.092,3.029
DZ026_chahbounia,الشهبونية,Chahbounia,chahbounia,DZ026_chahbounia,3,35.649,2.606
DZ026_chellalat-el-adhaoura,شلالة العذاورة,Chellalat El Adhaoura,chellalat-el-adhaoura,DZ026_chellalat-el-adhaoura,4,35.914,3.45
DZ026_el-azizia,العزيزية,El Azizia,el-azizia,DZ026_el-azizia,3,36.364,3.493
DZ026_el-omaria,العمارية,El Omaria,el-omaria,DZ026_el-omaria,3,35.906,2.219
DZ026_guelb-el-kebir,القلب الكبير,Guelb El Kebir,guelb-el-kebir,DZ026_guelb-el-kebir,3,36.252,3.427
DZ026_ksar-el-boukhari,قصر البخاري,Ksar El Boukhari,ksar-el-boukhari,DZ026_ksar-el-boukhari,3,35.869,2.826
DZ026_medea,المدية,Medea,medea,DZ026_medea,3,36.306,2.713
DZ026_ouamri,عوامري,Ouamri,ouamri,DZ026_ouamri,3,36.225,2.598
DZ026_ouled-antar,أولاد عنتر,Ouled Antar,ouled-antar,DZ026_ouled-antar,3,35.968,2.611
DZ026_ouzera,وزرة,Ouzera,ouzera,DZ026_ouzera,4,36.255,2.84
DZ026_seghouane,سغوان,Seghouane,seghouane,DZ026_seghouane,4,36.035,2.88
DZ026_si-mahdjoub,سي المحجوب,Si Mahdjoub,si-mahdjoub,DZ026_si-mahdjoub,3,36.139,2.705
DZ026_sidi-naamane,سيدي نعمان,Sidi Naamane,sidi-naamane,DZ026_sidi-naamane,3,36.403,3.444
DZ026_souaghi,السواقي,Souaghi,souaghi,DZ026_souaghi,4,36.084,3.316
DZ026_tablat,تابلاط,Tablat,tablat,DZ026_tablat,4,36.42,3.279
