id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ015_ain-el-hammam_abi-youcef,أبي يوسف,Abi-Youcef,abi-youcef,DZ015_ain-el-hammam_abi-youcef,36.525,4.346
DZ015_ain-el-hammam_ain-el-hammam,عين الحمام,Ain-El-Hammam,ain-el-hammam,DZ015_ain-el-hammam_ain-el-hammam,15002,36.576,4.28
DZ015_ain-el-hammam_ait-yahia,أيت يحيى,Ait-Yahia,ait-yahia,DZ015_ain-el-hammam_ait-yahia,15072,36.603,4.344
DZ015_ain-el-hammam_akbil,اقبيل,Akbil,akbil,DZ015_ain-el-hammam_akbil,15092,36.507,4.311
